id,actor_1_gender,actor_2_gender,actor_3_gender,actor_1_name,actor_2_name,actor_3_name,director_gender,director_name
9909,1,2,2,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,2,John N. Smith
63,2,1,2,Bruce Willis,Madeleine Stowe,Brad Pitt,2,Terry Gilliam
78802,2,1,2,Craig Sheffer,Elizabeth McGovern,Tom Hulce,2,Jean-Jacques Annaud
9598,1,1,2,Christine Cavanaugh,Miriam Margolyes,Danny Mann,2,Chris Noonan
47018,1,2,2,Emma Thompson,Jonathan Pryce,Steven Waddington,2,Christopher Hampton
687,1,2,2,Susan Sarandon,Sean Penn,Robert Prosky,2,Tim Robbins
139405,0,0,0,Peter Reznick,John McDonough,Avi Hoffman,2,Stephen Low
33689,1,2,1,Kirstie Alley,Steve Guttenberg,Ashley Olsen,2,Andy Tennant
9603,0,1,1,Alicia Silverstone,Stacey Dash,Brittany Murphy,1,Amy Heckerling
34615,0,2,0,James Earl Jones,Charles S. Dutton,Jack Robinson,0,Darrell James Roodt
31174,2,1,2,Ian McKellen,Annette Bening,Jim Broadbent,2,Richard Loncraine
11443,2,2,2,Larenz Tate,Keith David,Chris Tucker,2,Albert Hughes
35196,2,1,2,Robert Downey Jr.,Meg Ryan,Sam Neill,2,Michael Hoffman
9312,2,0,2,Christopher Lambert,Robin Shou,Linden Ashby,2,Paul W.S. Anderson
577,1,2,2,Nicole Kidman,Matt Dillon,Joaquin Phoenix,2,Gus Van Sant
11861,1,1,1,Winona Ryder,Anne Bancroft,Ellen Burstyn,1,Jocelyn Moorhouse
807,2,2,1,Brad Pitt,Morgan Freeman,Gwyneth Paltrow,2,David Fincher
10530,1,2,2,Irene Bedard,Mel Gibson,David Ogden Stiers,2,Mike Gabriel
8391,0,1,2,Pascale Bussières,Rachael Crawford,Henry Czerny,1,Patricia Rozema
629,2,2,2,Stephen Baldwin,Gabriel Byrne,Chazz Palminteri,2,Bryan Singer
117164,1,2,0,Cynthia Rothrock,Marshall R. Teague,Daniel McVicar,2,Richard W. Munchkin
11448,2,1,1,Woody Allen,Mira Sorvino,Helena Bonham Carter,2,Woody Allen
49133,2,2,0,Enrico Lo Verso,Michele Placido,Piro Milkani,2,Gianni Amelio
26441,2,1,2,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,1,Holly Goldberg Sloan
97406,1,1,2,Jennifer Jason Leigh,Mare Winningham,Ted Levine,2,Ulu Grosbard
124057,2,2,1,Johnny Morina,Malcolm McDowell,Maggie Castle,2,Robert Tinnell
9089,1,2,1,Holly Hunter,Robert Downey Jr.,Anne Bancroft,1,Jodie Foster
11010,2,0,1,Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,2,Michael Radford
99040,2,0,0,Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,2,Robert Lepage
11359,2,2,1,Hal Scardino,Litefoot,Lindsay Crouse,2,Frank Oz
17182,1,2,2,Sally Field,Kiefer Sutherland,Ed Harris,2,John Schlesinger
2054,2,1,2,Richard Dreyfuss,Glenne Headly,Jay Thomas,2,Stephen Herek
10607,2,2,1,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,2,Paris Barclay
19760,1,2,0,Sandra Bullock,Denis Leary,Yaphet Kotto,2,Bill Bennett
9536,2,2,1,Pauly Shore,Stephen Baldwin,Joey Lauren Adams,2,Jason Bloom
11525,2,2,2,Patrick Bergin,Matt Frewer,Austin O'Brien,2,Farhad Mann
40628,0,2,1,Jerry Barone,Al Pacino,Mary Elizabeth Mastrantonio,2,James Foley
4482,1,1,2,Victoria Abril,Josiane Balasko,Alain Chabat,1,Josiane Balasko
10634,2,2,1,Ice Cube,Chris Tucker,Nia Long,2,F. Gary Gray
755,2,2,2,George Clooney,Quentin Tarantino,Harvey Keitel,2,Robert Rodriguez
11859,2,1,2,William Baldwin,Cindy Crawford,Steven Berkoff,2,Andrew Sipes
28387,2,1,2,Josh Hamilton,Olivia d'Abo,Carlos Jacott,2,Noah Baumbach
48750,2,2,1,Jean-Paul Belmondo,Michel Boujenah,Alessandra Martines,2,Claude Lelouch
20927,2,1,1,Christian Slater,Mary Stuart Masterson,Pamela Adlon,2,Michael Goldenberg
36929,2,2,1,Rick Moranis,Tom Arnold,Julianne Phillips,2,Steve Miner
9102,2,2,1,Peter Weller,Roy Dupuis,Jennifer Rubin,2,Christian Duguay
124626,0,1,2,Nico,Tina Aumont,Jackson Browne,0,Susanne Ofteringer
27526,2,2,1,Jack Nicholson,David Morse,Anjelica Huston,2,Sean Penn
9623,1,2,2,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,2,Brian Gibson
46785,0,0,0,Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,2,Jafar Panahi
400,2,2,2,Andy García,Christopher Lloyd,William Forsythe,2,Gary Fleder
880,1,0,0,Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,0,Marleen Gorris
146599,2,1,1,"Al Freeman, Jr.",Phylicia Rashād,Paula Kelly,2,Tim Reid
188588,0,1,2,Victoria Foyt,Viveca Lindfors,Jon Robin Baitz,2,Henry Jaglom
8447,2,1,1,Mark Rylance,Kristin Scott Thomas,Patsy Kensit,0,Philip Haas
10534,2,1,2,Jeff Bridges,Caroline Goodall,John Savage,2,Ridley Scott
17414,2,1,2,Jason Alexander,Faye Dunaway,Eric Lloyd,0,Ken Kwapis
13997,2,2,2,Chris Farley,David Spade,Grant Heslov,0,Penelope Spheeris
2086,2,1,2,Johnny Depp,Courtney Chase,Charles S. Dutton,2,John Badham
61548,2,1,2,Jason Patric,Thandie Newton,Larry Drake,2,John Duigan
9095,1,2,2,Julia Roberts,John Malkovich,George Cole,0,Stephen Frears
12158,2,1,2,Eddie Murphy,Angela Bassett,Allen Payne,2,Wes Craven
9283,2,2,1,Matt Dillon,Noah Emmerich,Annabeth Gish,2,Ted Demme
9208,2,2,1,John Travolta,Christian Slater,Samantha Mathis,2,John Woo
40154,2,1,2,Richard Briers,Joan Collins,Michael Maloney,2,Kenneth Branagh
406,2,2,0,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,2,Mathieu Kassovitz
45549,1,2,2,Sadie Frost,Jude Law,Sean Pertwee,2,Paul W.S. Anderson
63076,2,0,0,Nick Broomfield,Heidi Fleiss,Madam Alex,2,Nick Broomfield
11062,2,2,1,Al Pacino,John Cusack,Bridget Fonda,2,Harold Becker
13685,2,2,1,Luke Wilson,Owen Wilson,Lumi Cavazos,2,Wes Anderson
47475,1,2,1,Ellen DeGeneres,Bill Pullman,Joan Cusack,2,Nick Castle
2045,2,1,2,Ray Liotta,Linda Fiorentino,Peter Coyote,2,John Dahl
9614,2,2,2,Adam Sandler,Ben Stiller,Christopher McDonald,2,Dennis Dugan
688,1,2,1,Meryl Streep,Clint Eastwood,Annie Corley,2,Clint Eastwood
11907,1,0,0,Maria Schrader,Pierre Sanoussi-Bliss,Michael von Au,1,Doris Dörrie
10874,2,2,1,Tim Curry,Kevin Bishop,Jennifer Saunders,2,Brian Henson
89333,0,0,2,Christy Turlington,Azzedine Alaïa,Giorgio Armani,0,Robert Leacock
96357,2,2,0,Raymond J. Barry,Rustam Branaman,Jennifer MacDonald,0,James Bruce
197,2,0,1,Mel Gibson,Catherine McCormack,Sophie Marceau,2,Mel Gibson
103,2,1,2,Robert De Niro,Cybill Shepherd,Harvey Keitel,2,Martin Scorsese
33542,2,0,1,Jackie Chan,Anita Mui,Françoise Yip,2,Stanley Tong
43566,1,2,2,Meryl Streep,Liam Neeson,Edward Furlong,2,Barbet Schroeder
71754,1,2,2,Helena Bonham Carter,Clive Russell,Craig Olejnik,2,Mort Ransen
43612,2,2,2,Michel Serrault,Eddy Mitchell,Sabine Azéma,2,Étienne Chatiliez
51352,2,1,2,Kenneth Branagh,Glenn Close,Sabine Azéma,0,Jon Blair
16934,0,1,2,Tobias Arnold,Ruth Sheen,Roger Lloyd Pack,0,Benjamin Ross
10324,1,1,1,Sarah Jessica Parker,Elle Macpherson,Scarlett Johansson,2,Eric Schaeffer
78406,2,2,1,Andy García,Alan Arkin,Rachel Ticotin,2,Andrew Davis
55731,1,2,2,Halle Berry,Jim Belushi,Casey Affleck,2,Charles T. Kanganis
32119,2,2,0,Henry Czerny,Johnny Morina,Brian Dooley,2,John N. Smith
11066,2,1,1,Eddie Murphy,Robin Givens,Halle Berry,2,Reginald Hudlin
11104,1,2,1,Brigitte Lin,Tony Leung Chiu-Wai,Faye Wong,2,Wong Kar-wai
37975,2,1,0,Sergio Castellitto,Tiziana Lodato,Franco Scaldati,0,Giuseppe Tornatore
2074,2,1,1,Ben Stiller,Patricia Arquette,Téa Leoni,2,David O. Russell
27793,2,1,2,Jason James Richter,Melody Kay,Kevin McNulty,2,Peter MacDonald
44284,0,0,0,Amel Hedhili,Najia Ouerghi,Fatima Ben Saïdane,0,Moufida Tlatli
290157,0,0,0,Maggie Cogan,Najia Ouerghi,Fatima Ben Saïdane,0,Michel Negroponte
110972,2,1,2,Josh Charles,Anne Heche,John Goodman,2,Bryan Gordon
32622,0,0,1,Miranda Rhyne,Charlotte Eve Blythe,Anna Levine,1,Rebecca Miller
73067,2,0,2,Matt Dillon,Corban Walker,Gabriel Byrne,2,Michael Lindsay-Hogg
11863,2,1,2,David Caruso,Linda Fiorentino,Chazz Palminteri,0,William Friedkin
55475,0,2,0,Luisito Marti,Alfonso Zayas,Caridad Ravelo,2,Ángel Muñiz
124636,0,0,0,Lloyd Dunn,Chris Grigg,Mark Hosler,0,Craig Baldwin
9101,2,1,2,Kelsey Grammer,Lauren Holly,Rob Schneider,2,David S. Ward
123360,1,1,2,Jean Seberg,Mary Beth Hurt,Rob Schneider,0,Mark Rappaport
5757,2,1,1,Dirk Shafer,Mary Stein,Claudette Sutherland,2,Dirk Shafer
39428,2,2,1,Jacob Tierney,Drake Bell,Gena Rowlands,2,Terence Davies
124639,2,2,1,Jacob Tierney,Drake Bell,Gena Rowlands,0,Sandip Ray
9302,2,1,1,Robert Redford,Michelle Pfeiffer,Stockard Channing,2,Jon Avnet
11000,2,2,2,Robin Williams,Gene Hackman,Nathan Lane,2,Mike Nichols
249882,2,2,1,Martin Sheen,Michael York,Morgan Fairchild,0,Jakov Sedlar
16388,1,1,0,Shari Albert,Maxine Bahns,Catharine Bolz,2,Edward Burns
9737,2,2,1,Will Smith,Martin Lawrence,Téa Leoni,2,Michael Bay
30765,2,2,0,Stephen Lang,Ryan Slater,Yi Ding,2,Christopher Cain
10474,2,0,2,Leonardo DiCaprio,Lorraine Bracco,James Madio,2,Scott Kalvert
22279,2,2,1,Alan Rickman,Hugh Grant,Georgina Cates,2,Mike Newell
30157,1,2,1,Isabelle Huppert,Martin Donovan,Elina Löwensohn,2,Hal Hartley
568,2,2,2,Tom Hanks,Bill Paxton,Kevin Bacon,2,Ron Howard
11780,2,1,2,Liam Neeson,Jessica Lange,John Hurt,2,Michael Caton-Jones
34996,1,2,1,Lili Taylor,Christopher Walken,Annabella Sciorra,2,Abel Ferrara
414,2,2,2,Val Kilmer,Tommy Lee Jones,Jim Carrey,2,Joel Schumacher
649,1,2,2,Catherine Deneuve,Michel Piccoli,Jean Sorel,2,Luis Buñuel
1873,1,1,0,Patricia Arquette,Frances McDormand,U Aung Ko,2,John Boorman
5894,2,2,2,Harvey Keitel,Lou Reed,Michael J. Fox,2,Paul Auster
1775,2,2,1,John Candy,Alan Alda,Rhea Perlman,2,Michael Moore
8839,1,2,1,Christina Ricci,Bill Pullman,Cathy Moriarty,0,Brad Silberling
20649,2,2,2,Harvey Keitel,John Turturro,Delroy Lindo,2,Spike Lee
10329,1,2,2,Laura Linney,Dylan Walsh,Ernie Hudson,2,Frank Marshall
8963,2,2,2,Denzel Washington,Gene Hackman,Matt Craven,2,Tony Scott
26564,2,1,0,Robert Crumb,Aline Kominsky,Charles Crumb,0,Terry Zwigoff
8068,2,1,2,Antonio Banderas,Salma Hayek,Joaquim de Almeida,2,Robert Rodriguez
8512,2,2,1,Denzel Washington,Tom Sizemore,Jennifer Beals,0,Carl Franklin
1572,2,2,2,Bruce Willis,Jeremy Irons,Samuel L. Jackson,2,John McTiernan
13552,1,2,2,Rose McGowan,James Duval,Johnathon Schaech,2,Gregg Araki
259209,1,2,1,Embeth Davidtz,Tom Bell,Gemma Jones,2,Christopher Menaul
6520,2,2,1,Sean Connery,Richard Gere,Julia Ormond,2,Jerry Zucker
9073,2,2,1,Jason James Richter,Michael Madsen,Jayne Atkinson,0,Dwight H. Little
10428,2,1,2,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,2,Iain Softley
17447,2,2,2,Steven Weber,Patrick Stewart,Michael T. Weiss,2,Christopher Ashley
9886,2,1,2,Keanu Reeves,Dina Meyer,Takeshi Kitano,2,Robert Longo
9482,2,1,2,Sylvester Stallone,Diane Lane,Armand Assante,2,Danny Cannon
19326,2,1,2,Pauly Shore,Tia Carrere,Stanley Tucci,2,John Fortenberry
9344,2,1,1,Leo Fitzpatrick,Rosario Dawson,Chloë Sevigny,2,Larry Clark
9071,2,1,2,Steve Buscemi,Catherine Keener,Dermot Mulroney,2,Tom DiCillo
8973,2,2,1,Scott Bakula,Kevin J. O'Connor,Famke Janssen,2,Clive Barker
15730,2,0,2,Thomas Gibson,Ruth Marshall,Cameron Bancroft,2,Denys Arcand
47608,2,1,2,Chris O'Donnell,Drew Barrymore,Matthew Lillard,1,Antonia Bird
2293,2,2,1,Jason Lee,Jeremy London,Shannen Doherty,2,Kevin Smith
9070,1,2,2,Amy Jo Johnson,Jason David Frank,David Yost,2,Bryan Spicer
68274,1,1,1,Elizabeth Perkins,Gwyneth Paltrow,Kathleen Turner,2,David Anspaugh
48787,0,0,0,Marina Zudina,Fay Ripley,Evan Richards,2,Anthony Waller
34574,1,2,2,Elina Löwensohn,Peter Fonda,David Lynch,2,Michael Almereyda
1642,1,2,2,Sandra Bullock,Jeremy Northam,Dennis Miller,2,Irwin Winkler
11472,2,1,2,Hugh Grant,Julianne Moore,Tom Arnold,2,Chris Columbus
36196,1,2,2,Parker Posey,Liev Schreiber,Anthony DeSando,1,Daisy von Scherler Mayer
11980,2,2,1,Christopher Walken,Elias Koteas,Virginia Madsen,2,Gregory Widen
58372,0,2,2,Mia Farrow,Tony Goldwyn,Scott Glenn,2,Norman René
32646,1,2,2,Julianne Moore,Xander Berkeley,Dean Norris,2,Todd Haynes
10533,1,2,2,Demi Moore,Gary Oldman,Robert Duvall,0,Roland Joffé
56088,0,2,2,Kurtis Blow,Sean Combs,Snoop Dogg,0,Roland Joffé
10802,1,2,1,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,2,Paul Verhoeven
10149,2,2,2,Harvey Keitel,William Hurt,Giancarlo Esposito,0,Wayne Wang
18402,1,2,2,Julia Roberts,Dennis Quaid,Robert Duvall,2,Lasse Hallström
9348,1,2,2,Natasha Henstridge,Ben Kingsley,Michael Madsen,2,Roger Donaldson
139408,2,2,1,Robert Duvall,Aidan Quinn,Frances Fisher,2,James Keach
281,2,1,2,Ralph Fiennes,Angela Bassett,Tom Sizemore,1,Kathryn Bigelow
5967,1,2,2,Catherine Deneuve,Nino Castelnuovo,Anne Vernon,0,Jacques Demy
79593,1,2,1,Daryl Hannah,Keith Carradine,Moira Kelly,2,Wesley Strick
47939,2,1,2,Patrick Swayze,Mary Elizabeth Mastrantonio,Joseph Mazzello,1,Martha Coolidge
36834,2,2,1,Leonardo DiCaprio,David Thewlis,Romane Bohringer,1,Agnieszka Holland
9090,2,2,2,Patrick Swayze,Wesley Snipes,John Leguizamo,1,Beeban Kidron
3512,2,2,2,Steven Seagal,Eric Bogosian,Everett McGill,2,Geoff Murphy
52856,1,2,2,Andie MacDowell,John Turturro,Michael Richards,1,Diane Keaton
77350,1,2,1,Sandra Bernhard,Isaac Mizrahi,Naomi Campbell,2,Douglas Keeve
9560,2,1,2,Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,2,Alfonso Aráu
9804,2,0,2,Kevin Costner,Chaim Girafi,Rick Aviles,0,Kevin Reynolds
31611,2,2,1,John Travolta,Harry Belafonte,Kelly Lynch,0,Desmond Nakano
65796,2,1,2,Jeff Bridges,Ellen Barkin,John Hurt,2,Walter Hill
49805,0,1,2,Albert Finney,Greta Scacchi,Matthew Modine,2,Mike Figgis
26258,2,2,0,Daniel Stern,Jon Polito,Brad Sullivan,2,Greg Beeman
50797,2,2,1,Nikita Mikhalkov,Oleg Menshikov,Ingeborga Dapkunaite,2,Nikita Mikhalkov
19155,1,2,2,Katrin Cartlidge,Rade Serbedzija,Grégoire Colin,0,Milčo Mančevski
76,2,1,1,Ethan Hawke,Julie Delpy,Andrea Eckert,2,Richard Linklater
11017,2,2,0,Adam Sandler,Darren McGavin,Bridgette Wilson,1,Tamra Davis
37141,0,2,2,Alicia Silverstone,Jeremy London,J.T. Walsh,2,Guy Ferland
9382,1,1,1,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,0,Herbert Ross
6715,2,2,1,Brad Renfro,Joseph Mazzello,Annabella Sciorra,2,Peter Horton
18256,2,1,2,Jeffrey Combs,Barbara Crampton,Jonathan Fuller,2,Stuart Gordon
22625,2,1,1,Chris O'Donnell,Minnie Driver,Geraldine O'Rawe,2,Pat O'Connor
2292,2,2,2,Brian O'Halloran,Jeff Anderson,Jason Mewes,2,Kevin Smith
1909,2,2,1,Johnny Depp,Marlon Brando,Faye Dunaway,2,Jeremy Leven
8984,2,1,2,Michael Douglas,Demi Moore,Donald Sutherland,2,Barry Levinson
61813,1,2,2,Patsy Kensit,Bruce Greenwood,Andrew McCarthy,0,René Bonnière
4954,2,2,1,Wesley Snipes,Gary Busey,Yancy Butler,2,John Badham
62488,2,1,2,Dylan McDermott,Nancy Travis,James Le Gros,2,Jack Baran
10531,1,2,2,Sigourney Weaver,Ben Kingsley,Stuart Wilson,2,Roman Polanski
11929,1,1,0,Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,0,Taylor Hackford
8467,2,2,1,Jim Carrey,Jeff Daniels,Lauren Holly,2,Peter Farrelly
10451,0,0,0,Sihung Lung,Yu-Wen Wang,Jacklyn Wu ,2,Ang Lee
20156,2,1,2,Bruce Greenwood,Mia Kirshner,Elias Koteas,2,Atom Egoyan
18395,1,2,0,Dana Delany,Paul Mercurio,Rosie O'Donnell,2,Garry Marshall
522,2,2,1,Johnny Depp,Martin Landau,Sarah Jessica Parker,2,Tim Burton
397,1,2,2,Meg Ryan,Kevin Kline,Timothy Hutton,2,Lawrence Kasdan
10525,2,1,2,Billy Crystal,Debra Winger,Joe Mantegna,2,Billy Crystal
27985,1,2,2,Mimi Rogers,Jesse Bradford,Bruce Davison,0,Phillip Borsos
15789,2,2,2,Bill Farmer,Jason Marsden,Rob Paulsen,2,Kevin Lima
27303,2,1,0,Jeff Goldblum,Christine Lahti,Alicia Silverstone,0,Brett Leonard
21183,2,2,1,Samuel L. Jackson,Matthew Modine,Nancy Travis,2,Carlo Carlei
10954,0,2,1,Stefano Dionisi,Enrico Lo Verso,Elsa Zylberstein,0,Gérard Corbiau
47867,2,2,1,Ted Manson,Afemo Omilami,Elsa Zylberstein,0,Mark Lewis
43475,2,2,1,Ted Manson,Afemo Omilami,Elsa Zylberstein,0,Art Clokey
72031,2,1,2,Ice Cube,Lori Petty,Erich Anderson,2,Charles Burnett
14275,2,2,2,William Gates,Arthur Agee,Steve James,2,Steve James
1024,1,1,1,Melanie Lynskey,Kate Winslet,Sarah Peirse,2,Peter Jackson
17207,2,2,2,Sinbad,Phil Hartman,Jeffrey Jones,2,Randall Miller
13701,2,0,1,Gary Oldman,Jeroen Krabbé,Isabella Rossellini,2,Bernard Rose
14819,2,2,2,Ben Stiller,Aaron Schwartz,Kenan Thompson,2,Steven Brill
32631,2,2,1,Christopher Lambert,John Lone,Joan Chen,2,J. F. Lawton
11777,2,1,2,Tim Robbins,Meg Ryan,Walter Matthau,2,Fred Schepisi
628,2,2,1,Brad Pitt,Tom Cruise,Kirsten Dunst,0,Neil Jordan
87729,2,1,1,Nick Nolte,Greta Scacchi,Thandie Newton,2,James Ivory
18713,2,2,2,John G. Brennan,Kamal Ahmed,Alan Arkin,0,James Melkonian
6280,2,2,1,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,2,Ivan Reitman
9061,2,2,2,Sean Connery,Laurence Fishburne,Blair Underwood,0,Arne Glimcher
37108,2,2,2,Thomas Ian Nicholas,Joss Ackland,Art Malik,2,Michael Gottlieb
6071,2,2,2,David Caruso,Samuel L. Jackson,Nicolas Cage,2,Barbet Schroeder
11,2,2,1,Mark Hamill,Harrison Ford,Carrie Fisher,2,George Lucas
9587,1,2,1,Winona Ryder,Gabriel Byrne,Trini Alvarado,1,Gillian Armstrong
19101,1,1,2,Liesel Matthews,Eleanor Bron,Liam Cunningham,2,Alfonso Cuarón
49980,1,0,0,Crissy Rock,Vladimir Vega,Sandie Lavelle,2,Ken Loach
17961,0,0,1,Emmanuelle Béart,François Cluzet,Nathalie Cardone,0,Claude Chabrol
18183,2,1,1,Marco Leonardi,Lumi Cavazos,Regina Torné,2,Alfonso Aráu
4476,2,2,2,Brad Pitt,Anthony Hopkins,Aidan Quinn,2,Edward Zwick
11008,2,2,2,Damon Wayans,Orlando Brown,Michael Ironside,2,Nick Castle
47504,2,2,1,Edward Furlong,Tim Roth,Moira Kelly,2,James Gray
32325,0,1,2,Angel Aviles,Seidy López,Jacob Vargas,1,Allison Anders
43742,2,1,1,Warren Beatty,Annette Bening,Katharine Hepburn,2,Glenn Gordon Caron
28313,1,1,2,Jessica Lange,Halle Berry,David Strathairn,2,Stephen Gyllenhaal
11318,0,1,2,Nigel Hawthorne,Helen Mirren,Ian Holm,2,Nicholas Hytner
3036,2,2,2,Robert De Niro,Kenneth Branagh,Tom Hulce,2,Kenneth Branagh
40490,1,2,2,Farrah Fawcett,Chevy Chase,Jonathan Taylor Thomas,2,James Orr
24070,2,1,2,Steve Martin,Madeline Kahn,Robert Klein,0,Nora Ephron
8986,1,2,2,Melanie Griffith,Ed Harris,Michael Patrick Carter,2,Richard Benjamin
10510,2,1,2,Richard Attenborough,Elizabeth Perkins,Dylan McDermott,0,Les Mayfield
17402,1,2,0,Sarah Jessica Parker,Antonio Banderas,Mia Farrow,2,David Frankel
38722,2,2,2,Edward James Olmos,Jimmy Smits,Esai Morales,2,Gregory Nava
8438,2,2,2,Christian Slater,Kevin Bacon,Gary Oldman,2,Marc Rocco
11593,2,2,1,Paul Newman,Bruce Willis,Melanie Griffith,2,Robert Benton
1945,1,2,1,Jodie Foster,Liam Neeson,Natasha Richardson,2,Michael Apted
39310,2,2,1,Sharron Corley,Donald Faison,Christine Baranski,2,Nick Gomez
109560,0,2,1,Toru Nakamura,Chad McQueen,Mira Sorvino,2,Tōru Murakawa
56428,1,2,2,Elizabeth Hurley,Craig Fairbrass,Keith Allen,2,Vadim Jean
63105,0,2,1,Sue Price,Chad Stahelski,Tina Cote,2,Albert Pyun
131957,1,2,2,Laura San Giacomo,Michael O'Keefe,Paul Rhys,2,Alan Jacobs
241,2,1,2,Woody Harrelson,Juliette Lewis,Robert Downey Jr.,2,Oliver Stone
9058,1,2,1,Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,2,Norman Jewison
527,1,2,0,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,2,Lee Tamahori
18220,1,2,2,Alyssa Milano,Johnathon Schaech,Xander Berkeley,1,Anne Goursaud
6950,2,1,2,Dustin Hoffman,Rene Russo,Morgan Freeman,2,Wolfgang Petersen
101,2,1,2,Jean Reno,Natalie Portman,Gary Oldman,2,Luc Besson
63020,1,2,1,Marisa Tomei,Alfred Molina,Anjelica Huston,1,Mira Nair
2307,2,2,1,William Baldwin,John Leguizamo,Эрика Элениак,2,Joshua Brand
680,2,2,1,John Travolta,Samuel L. Jackson,Uma Thurman,2,Quentin Tarantino
41478,2,2,2,Kadeem Hardison,Bokeem Woodbine,Courtney B. Vance,2,Mario Van Peebles
25296,0,0,0,Sihung Lung,Wang Lai,Bo Z. Wang,2,Ang Lee
40156,2,2,2,Linus Roache,Tom Wilkinson,Robert Carlyle,1,Antonia Bird
11450,2,2,2,John Turturro,Rob Morrow,Ralph Fiennes,2,Robert Redford
30304,1,0,1,Youki Kudoh,Akira Takayama,Tamlyn Tomita,0,Kayo Hatta
10452,1,2,2,Isabelle Adjani,Daniel Auteuil,Jean-Hugues Anglade,2,Patrice Chéreau
12106,1,2,2,Sharon Stone,Gene Hackman,Russell Crowe,2,Sam Raimi
161495,2,2,1,Peter Falk,D. B. Sweeney,Julianne Moore,2,Peter Yates
3586,2,1,2,Marcello Mastroianni,Sophia Loren,Jean-Pierre Cassel,2,Robert Altman
110,1,2,2,Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,2,Krzysztof Kieślowski
108,1,0,1,Juliette Binoche,Benoît Régent,Florence Pernel,2,Krzysztof Kieślowski
